YouTube Link,Song,Artist,Album,Year,Duration,Trim Start,Trim End,Era
https://www.youtube.com/watch?v=UZqmqHN6Zsg,Mēmā dziesma,Nora Bumbiere un Viktors Lapčenoks,,1976,283,5,10,vintage
https://www.youtube.com/watch?v=0W1tCqKKRgc,"Teic, kur zeme tā","M. Vilcāne, O. Grinbergs, N. Bumbiere",,1971,181,5,10,vintage
https://www.youtube.com/watch?v=P_P4H84g7WY,Zilais karbunkuls,Menuets,,1971,203,5,10,vintage
https://www.youtube.com/watch?v=hej8hnHtnrY,Cielaviņa,Jānis Paukštello,,1978,207,5,10,vintage
https://www.youtube.com/watch?v=Kk3Kj78DRrs,Vakara dziesma (Cauri pilsētai),Menuets,,1972,181,5,10,vintage
https://www.youtube.com/watch?v=ci8_w-3yfT4,Vēju muzikants,Ēriks Kamarūts,,1973,267,5,10,vintage
https://www.youtube.com/watch?v=5E8VyfKWvlQ,Kurzeme,Viktors Lapčenoks,,1974,195,5,10,vintage
https://www.youtube.com/watch?v=8F47rDV_-0Y,Ķiršu lietus,Nora Bumbiere,,1974,216,5,10,vintage
https://www.youtube.com/watch?v=SgQfdLFfP5A,Dziesmiņa par daillempteri,Menuets,,1975,182,5,10,vintage
https://www.youtube.com/watch?v=UeBEmtXie_U,Par pēdējo lapu,Nora Bumbiere,,1976,192,5,10,vintage
https://www.youtube.com/watch?v=y-YC2Jfvg58,Parunā ar mani,Ingus Pētersons,,1977,222,5,10,vintage
https://www.youtube.com/watch?v=W3FbSbYdNjI,Tai pilsētā,Mirdza Zīvere,,1978,172,5,10,vintage
https://www.youtube.com/watch?v=d5jf3uJZQKI,Es aiziet nevaru,Mirdza Zīvere,,1979,215,5,10,vintage
https://www.youtube.com/watch?v=1ehkmfOiejY,"Sanāciet, sadziediet",Viktors Lapčenoks,,1977,140,5,10,vintage
https://www.youtube.com/watch?v=2iXFqKnuN0U,Savāda vasara,V. Lapčenoks un N. Bumbiere,,1972,156,5,10,vintage
https://www.youtube.com/watch?v=F5UfWoLbRwE,Lilioma dziesma,Uldis Dumpis,,1971,188,5,10,vintage
https://www.youtube.com/watch?v=0n4casCkoFs,Alvas zaldātiņi,Menuets,,1972,161,5,10,vintage
https://www.youtube.com/watch?v=BA356zj3nCw,Dziesma par pazaudēto laiku,Menuets,,1974,282,5,10,vintage
https://www.youtube.com/watch?v=kD5jBwzW0Ss,Dāvāja Māriņa,Aija Kukule un Līga Kreicberga,,1979,320,5,10,vintage
https://www.youtube.com/watch?v=E-N0lDTFGWo,Nāc pie puikām!,Credo,,1979,125,5,10,vintage
https://www.youtube.com/watch?v=kXOQInleT20,Kā caur pelniem,Adrians Kukuvass / Menuets,,1979,209,5,10,vintage
https://www.youtube.com/watch?v=l20fbHnjfsg,Vēl nav par vēlu,Nora Bumbiere,,1975,186,5,10,vintage
https://www.youtube.com/watch?v=IAchRAkVkmU,Puķu nakts,Viktors Lapčenoks,,1975,204,5,10,vintage
https://www.youtube.com/watch?v=gyCyYQUgjW8,Laternu stundā,N. Bumbiere un V. Lapčenoks,,1976,167,5,10,vintage
https://www.youtube.com/watch?v=GYy4P7WB5eM,Rudens ogle,Mirdza Zīvere,,1976,206,5,10,vintage
https://www.youtube.com/watch?v=j3RMroeCYVw,Zvani,Andrejs Lihtenbergs,,1973,141,5,10,vintage
https://www.youtube.com/watch?v=XeRKaas95Hg,Somu pirts,O. Grinbergs un M. Vilcāne,,1972,150,5,10,vintage
https://www.youtube.com/watch?v=Yh2mlqf1Naw,Gaujai,Jānis Paukštello,,1973,191,5,10,vintage
https://www.youtube.com/watch?v=qtKZoFgiS_E,Atmiņu lietus,Viktors Lapčenoks,,1975,239,5,10,vintage
https://www.youtube.com/watch?v=bJeoIRDGwEA,Ūdensnesējs,N. Bumbiere un V. Lapčenoks,,1971,215,5,10,vintage
https://www.youtube.com/watch?v=uMnhcgpVQvc,"Dziesma, ar ko tu sāksies",Menuets,,1979,277,5,10,vintage
https://www.youtube.com/watch?v=DbxY3BH9LeY,Zied ievas Siguldā,Viktors Lapčenoks,,1974,226,5,10,vintage
https://www.youtube.com/watch?v=OVxpa_x1sqc,Pusnakts balāde,Viktors Lapčenoks,,1977,276,5,10,vintage
https://www.youtube.com/watch?v=DQeXSfKPRHY,Cāļus skaita rudenī,O. Grinbergs un M. Vilcāne,,1973,144,5,10,vintage
https://www.youtube.com/watch?v=h_coEzGZ5X4,Vecā jūrnieka stāsts,Viktors Lapčenoks,,1972,146,5,10,vintage
https://www.youtube.com/watch?v=M5T1SqduECA,Undīne,Nora Bumbiere,,1974,160,5,10,vintage
https://www.youtube.com/watch?v=Ll_lAsRBFq4,Skeirī,2xBBM,,1971,334,5,10,vintage
https://www.youtube.com/watch?v=ok384a4HvcQ,Kūku Marija,Margarita Vilcāne,,1975,230,5,10,vintage
https://www.youtube.com/watch?v=Y7TuNdqvVrM,Vienīgais,Ārija Elksne (M.Zīvere),,1978,44,5,10,vintage
https://www.youtube.com/watch?v=1WNnhtHtFmk,Viss nāk un aiziet tālumā,N. Bumbiere un V. Lapčenoks,,1976,214,5,10,vintage
https://www.youtube.com/watch?v=PxFQv61oHmw,Viņi dejoja vienu vasaru,Menuets,,1976,223,5,10,vintage
https://www.youtube.com/watch?v=rFRaM-2PP5w,Dūdieviņš (agrā versija),Nora Bumbiere,,1972,172,5,10,vintage
https://www.youtube.com/watch?v=ldoajQuM8XU,Zēns ar ģitāru,V. Lapčenoks,,1971,102,5,10,vintage
https://www.youtube.com/watch?v=U-P5GiXckMQ,Lapsenes nāve,2xBBM (Imants Kalniņš),,1971,466,5,10,vintage
https://www.youtube.com/watch?v=fLhjEq0Tavs,"Hallo, Rostoka!",Ojārs Grinbergs,,1976,163,5,10,vintage
https://www.youtube.com/watch?v=O67173ucKJ4,Nakts dziesma,Aija Kukule,,1978,174,5,10,vintage
https://www.youtube.com/watch?v=8VUJicaFjns,Tāls Parīzes radio,Margarita Vilcāne,,1978,254,5,10,vintage
https://www.youtube.com/watch?v=GyuIT7ZkK64,Dzeltenie aizkari,Mirdza Zīvere,,1979,267,5,10,vintage
https://www.youtube.com/watch?v=NNFQ1ovb-y0,Mirdzošais gliemežvāks,O. Grinbergs / V. Lapčenoks,,1971,190,5,10,vintage
https://www.youtube.com/watch?v=16xMaeYXc4o,Lūgums,Nora Bumbiere,,1974,188,5,10,vintage
https://www.youtube.com/watch?v=0nZyXTukjVk,Vēju stunda,Aija Kukule,,1978,177,5,10,vintage
https://www.youtube.com/watch?v=Sb_EXnjNo5s,Salds it kā medus,Zigmars Liepiņš / M. Zīvere,,1978,194,5,10,vintage
https://www.youtube.com/watch?v=wKz0dOgQm0Q,Jelgavai,Viktors Lapčenoks,,1979,482,5,10,vintage
https://www.youtube.com/watch?v=BA_Ud57rIOQ,Ances romance,M. Vilcāne,,1970,188,5,10,vintage
https://www.youtube.com/watch?v=-_uJ3NtNFQM,Kā sniegi kalnu galotnēs,N. Bumbiere un V. Lapčenoks,,1977,272,5,10,vintage
https://www.youtube.com/watch?v=dFXBstdcHEI,Priekšnojauta,Mirdza Zīvere,,1977,226,5,10,vintage
https://www.youtube.com/watch?v=_mrsg05aL1s,Sapņu pīpe,Edgars Liepiņš,,1979,180,5,10,vintage
https://www.youtube.com/watch?v=L_dsYTxvSdI,Tā diena,Margarita Vilcāne,,1970,217,5,10,vintage
https://www.youtube.com/watch?v=Kpw5uNnlEOM,Grieze,N. Bumbiere un V. Lapčenoks,,1973,112,5,10,vintage
https://www.youtube.com/watch?v=ok384a4HvcQ,Balta saule,Margarita Vilcāne,,1970,230,5,10,vintage
https://www.youtube.com/watch?v=LsgO5OTUsRU,Raganu nakts,Viktors Lapčenoks,,1974,186,5,10,vintage
